o_zone_id,d_zone_id,volume
2025,2025,1.12
2025,2026,0.08
2025,2027,0.09
2025,2028,0.22
2025,2029,0.09
2025,3723,10.65
2025,3727,3.52
2025,3728,1.11
2025,3729,0.78
2026,2025,0.24
2026,2026,0.97
2026,2027,0.1
2026,2028,0.38
2026,2029,0.17
2026,3723,6.85
2026,3724,1.24
2026,3727,1.65
2026,3728,3.33
2026,3729,9.69
2027,2025,0.06
2027,2026,0.02
2027,2027,0.17
2027,2028,0.12
2027,2029,0.04
2027,3723,2.87
2027,3727,0.55
2027,3728,0.35
2027,3729,0.28
2028,2025,0.21
2028,2026,0.15
2028,2027,0.14
2028,2028,2.72
2028,2029,0.25
2028,3727,2.1
2028,3728,2.15
2028,3729,2.09
2028,3732,14.06
2029,2025,0.09
2029,2026,0.08
2029,2027,0.05
2029,2028,0.26
2029,2029,0.35
2029,3724,5.37
2029,3727,0.23
2029,3728,1.28
2029,3729,1.67
3723,2025,29.02
3723,2026,6.63
3723,2027,11.63
3723,3727,44.92
3724,2026,3.88
3724,2028,11.13
3724,2029,11.22
3724,3728,67.66
3724,3729,55.34
3727,2025,3.5
3727,2026,0.34
3727,2027,0.42
3727,2028,1.05
3727,2029,0.21
3727,3723,23.67
3727,3728,1.33
3727,3729,0.21
3728,2025,5.36
3728,2026,3.61
3728,2027,1.95
3728,2028,6.95
3728,2029,3.5
3728,3724,19.4
3728,3727,3.61
3728,3729,506.25
3729,2025,22.39
3729,2026,7.16
3729,2027,8.62
3729,2028,25.73
3729,2029,6.9
3729,3724,29.22
3729,3727,4.93
3729,3728,204.15
3731,2027,0.03
3731,3726,10.19
3732,2028,25.57
