o_zone_id,d_zone_id,volume
2025,2026,0.19
2025,2027,0.37
2025,2028,1.57
2025,2029,0.42
2025,3723,75.75
2025,3727,28.4
2025,3728,7.29
2025,3729,9.33
2026,2025,0.19
2026,2027,0.1
2026,2028,0.42
2026,3723,15.93
2026,3724,3.51
2026,3727,3.85
2026,3728,3.72
2026,3729,4.16
2027,2025,0.38
2027,2026,0.1
2027,2028,0.83
2027,2029,0.22
2027,3723,50.66
2027,3727,8.49
2027,3728,4.37
2027,3729,2.34
2028,2025,1.58
2028,2026,0.42
2028,2027,0.83
2028,3727,32.58
2028,3728,27.57
2028,3729,30.4
2028,3732,191.66
2029,2025,0.42
2029,2027,0.22
2029,3724,31.12
2029,3727,1.02
2029,3728,9.57
2029,3729,21.87
3723,2025,75.39
3723,2026,13.53
3723,2027,47.04
3723,3727,44.65
3724,2026,4.26
3724,2028,43.13
3724,2029,34.28
3724,3728,29.04
3724,3729,24.19
3727,2025,24.82
3727,2026,0.55
3727,2027,2.8
3727,2028,4.85
3727,2029,0.85
3727,3723,121.92
3727,3728,2.92
3727,3729,0.04
3728,2025,10.15
3728,2026,3.75
3728,2027,5.62
3728,2028,28.64
3728,2029,17.83
3728,3724,205.54
3728,3727,4.9
3728,3729,378.88
3729,2025,16.64
3729,2026,9.68
3729,2027,3.86
3729,2028,68.2
3729,2029,22.65
3729,3724,96.61
3729,3727,3.04
3729,3728,607.38
3731,2025,0.14
3731,2026,0.04
3731,2027,7.92
3731,2028,4.61
3731,3723,2.41
3731,3725,3.47
3731,3726,683.16
3732,2028,138.05
