node_id,zone_id,x_coord,y_coord
2025,2025,-77.17618,38.766558
2026,2026,-77.175665,38.770894
2027,2027,-77.179948,38.775078
2028,2028,-77.174821,38.774317
2029,2029,-77.17033,38.773577
3723,3723,-77.176047,38.777961
3724,3724,-77.171778,38.777712
3725,3725,-77.181559,38.775792
3726,3726,-77.179337,38.780642
3727,3727,-77.182669,38.760952
3728,3728,-77.162078,38.766543
3729,3729,-77.182039,38.769962
3730,3730,-77.181987,38.770283
3731,3731,-77.182377,38.770272
3732,3732,-77.174107,38.777832
5098,5098,-77.170434,38.767486
6114,6114,-77.170199,38.76747
34181,,-77.181568,38.771022
34411,,-77.181898,38.772411
34987,,-77.180028,38.772343
34988,,-77.171167,38.771771
35204,,-77.181219,38.774183
35247,,-77.171139,38.768663
35439,,-77.176119,38.770232
36321,,-77.178139,38.774172
36322,,-77.173979,38.771333
36324,,-77.171518,38.774901
36387,,-77.182427,38.765252
