o_zone_id,d_zone_id,volume
2025,2025,20.39
2025,2026,0.85
2025,2027,2.5
2025,2028,6.57
2025,2029,2.1
2025,3723,164.04
2025,3727,69.82
2025,3728,23.3
2025,3729,23.44
2026,2025,3.23
2026,2026,4.89
2026,2027,1.51
2026,2028,5.76
2026,2029,2.37
2026,3723,93.59
2026,3724,27.59
2026,3727,21.81
2026,3728,35.14
2026,3729,42.0
2027,2025,1.95
2027,2026,0.35
2027,2027,5.94
2027,2028,3.78
2027,2029,0.97
2027,3723,72.62
2027,3727,13.17
2027,3728,9.23
2027,3729,7.51
2028,2025,5.5
2028,2026,1.73
2028,2027,3.98
2028,2028,69.53
2028,2029,5.08
2028,3727,39.35
2028,3728,53.44
2028,3729,57.09
2028,3732,231.19
2029,2025,2.1
2029,2026,0.93
2029,2027,1.21
2029,2028,5.67
2029,2029,6.66
2029,3724,83.87
2029,3727,4.3
2029,3728,24.47
2029,3729,35.38
3723,2025,585.96
3723,2026,50.15
3723,2027,361.69
3723,3727,319.18
3724,2026,26.94
3724,2028,334.31
3724,2029,199.19
3724,3728,163.79
3724,3729,183.34
3727,2025,299.04
3727,2026,3.98
3727,2027,19.46
3727,2028,42.1
3727,2029,5.43
3727,3723,626.04
3727,3724,0.01
3727,3728,14.68
3727,3729,1.21
3728,2025,114.92
3728,2026,26.45
3728,2027,51.26
3728,2028,186.02
3728,2029,62.95
3728,3723,0.01
3728,3724,1108.95
3728,3727,47.11
3728,3729,1826.33
3729,2025,245.23
3729,2026,45.92
3729,2027,45.78
3729,2028,360.78
3729,2029,129.6
3729,3724,1580.97
3729,3727,24.29
3729,3728,3694.67
3731,2025,1.83
3731,2026,12.68
3731,2027,86.76
3731,2028,231.79
3731,2029,1.17
3731,3723,257.31
3731,3724,0.01
3731,3726,15859.01
3731,3727,0.03
3731,3728,0.01
3732,2028,593.95
