o_zone_id,d_zone_id,volume
2025,2026,0.17
2025,2027,0.2
2025,2028,0.69
2025,2029,0.13
2025,3723,28.26
2025,3727,12.32
2025,3728,2.74
2025,3729,5.93
2026,2025,0.17
2026,2027,0.09
2026,2028,0.31
2026,3723,9.88
2026,3724,2.76
2026,3727,3.44
2026,3728,2.53
2026,3729,2.97
2027,2025,0.2
2027,2026,0.09
2027,2028,0.38
2027,2029,0.13
2027,3723,14.06
2027,3727,3.7
2027,3728,1.08
2027,3729,0.61
2028,2025,0.69
2028,2026,0.31
2028,2027,0.38
2028,3727,13.42
2028,3728,7.45
2028,3729,10.5
2028,3732,59.01
2029,2025,0.15
2029,2027,0.13
2029,3724,6.91
2029,3727,0.35
2029,3728,1.0
2029,3729,4.62
3723,2025,29.0
3723,2026,8.54
3723,2027,13.11
3723,3727,19.38
3724,2026,3.28
3724,2028,15.68
3724,2029,7.39
3724,3728,6.18
3724,3729,5.7
3727,2025,11.3
3727,2026,1.0
3727,2027,1.42
3727,2028,4.1
3727,2029,0.35
3727,3723,128.84
3727,3728,0.95
3727,3729,0.01
3728,2025,3.62
3728,2026,2.56
3728,2027,1.74
3728,2028,7.61
3728,2029,1.21
3728,3724,53.21
3728,3727,6.67
3728,3729,150.01
3729,2025,7.67
3729,2026,4.36
3729,2027,1.24
3729,2028,13.56
3729,2029,8.21
3729,3724,64.17
3729,3727,0.35
3729,3728,232.58
3731,2025,0.06
3731,2026,2.49
3731,2027,2.59
3731,2028,10.84
3731,2029,0.16
3731,3723,36.92
3731,3726,1798.69
3732,2028,40.71
