agent_id,given_link_type_code,road_sequence,from_node_id,to_node_id,link_id,trace_no,trace_id,length,distance,link_type_code,geometry,old_agent_id
1,,1,30072,30578,25819,2,1000002,0.06,0.06,,"MULTILINESTRING ((-77.109867 38.856363,-77.108747 38.856634))",1
1,,2,30578,30577,27201,3,1000003,0.13,0.19,,"MULTILINESTRING ((-77.108747 38.856634,-77.106518 38.857281))",1
1,,3,30577,30576,27197,3,1000003,0.14,0.33,,"MULTILINESTRING ((-77.106518 38.857281,-77.104099 38.857961))",1
1,,4,30576,30073,27194,4,1000004,0.16,0.49,,"MULTILINESTRING ((-77.104099 38.857961,-77.101267 38.858831))",1
1,,5,30073,30573,25821,5,1000005,0.15,0.64,,"MULTILINESTRING ((-77.101267 38.858831,-77.098697 38.859542))",1
1,,6,30573,30574,27187,6,1000006,0.09,0.73,,"MULTILINESTRING ((-77.098697 38.859542,-77.097058 38.859972))",1
1,,7,30574,30154,27188,6,1000006,0.08,0.81,,"MULTILINESTRING ((-77.097058 38.859972,-77.095699 38.860322))",1
1,,8,30154,30153,26097,7,1000007,0.21,1.02,,"MULTILINESTRING ((-77.095699 38.860322,-77.091978 38.861253))",1
1,,9,30153,30572,26095,8,1000008,0.1,1.12,,"MULTILINESTRING ((-77.091978 38.861253,-77.092029 38.862672))",1
1,,10,30572,30628,27184,8,1000008,0.15,1.27,,"MULTILINESTRING ((-77.092029 38.862672,-77.092368 38.864753))",1
1,,11,30628,30152,27358,10,1000010,0.17,1.44,,"MULTILINESTRING ((-77.092368 38.864753,-77.094527 38.866432))",1
1,,12,30152,30321,26089,12,1000012,0.23,1.67,,"MULTILINESTRING ((-77.094527 38.866432,-77.097937 38.868453))",1
1,,13,30321,30336,26606,13,1000013,0.19,1.86,,"MULTILINESTRING ((-77.097937 38.868453,-77.100398 38.870403))",1
1,,14,30336,30334,26642,14,1000014,0.04,1.9,,"MULTILINESTRING ((-77.100398 38.870403,-77.100897 38.870834))",1
1,,15,30334,30593,26639,14,1000014,0.19,2.09,,"MULTILINESTRING ((-77.100897 38.870834,-77.10351 38.872712))",1
1,,16,30593,30595,27249,15,1000015,0.08,2.17,,"MULTILINESTRING ((-77.10351 38.872712,-77.104547 38.873464))",1
1,,17,30595,30135,27254,15,1000015,0.04,2.21,,"MULTILINESTRING ((-77.104547 38.873464,-77.105148 38.873891))",1
1,,18,30135,30640,26036,17,1000017,0.17,2.38,,"MULTILINESTRING ((-77.105148 38.873891,-77.107416 38.875512))",1
1,,19,30640,30326,27398,18,1000018,0.06,2.44,,"MULTILINESTRING ((-77.107416 38.875512,-77.108267 38.876151))",1
1,,20,30326,30488,26622,20,1000020,0.12,2.56,,"MULTILINESTRING ((-77.108267 38.876151,-77.107799 38.877802))",1
2,,1,30487,30133,26916,22,1000022,0.09,0.09,,"MULTILINESTRING ((-77.104088 38.881223,-77.102698 38.881941))",1
2,,2,30133,30486,26029,23,1000023,0.1,0.19,,"MULTILINESTRING ((-77.102698 38.881941,-77.101188 38.882651))",1
2,,3,30486,30632,26913,24,1000024,0.16,0.35,,"MULTILINESTRING ((-77.101188 38.882651,-77.098966 38.884103))",1
2,,4,30632,30131,27372,24,1000024,0.03,0.38,,"MULTILINESTRING ((-77.098966 38.884103,-77.098658 38.884422))",1
2,,5,30131,30130,26018,24,1000024,0.15,0.53,,"MULTILINESTRING ((-77.098658 38.884422,-77.096837 38.885994))",1
2,,6,30130,30140,26015,25,1000025,0.14,0.67,,"MULTILINESTRING ((-77.096837 38.885994,-77.094987 38.887461))",1
2,,7,30140,30283,26053,25,1000025,0.13,0.8,,"MULTILINESTRING ((-77.094987 38.887461,-77.093239 38.888671))",1
2,,8,30283,30657,26492,27,1000027,0.15,0.95,,"MULTILINESTRING ((-77.093239 38.888671,-77.090697 38.889631))",1
2,,9,30657,30525,27451,28,1000028,0.12,1.07,,"MULTILINESTRING ((-77.090697 38.889631,-77.088618 38.890413))",1
3,,1,30151,1540,26085,33,1000033,0.25,0.25,,"MULTILINESTRING ((-77.117697 38.854033,-77.118694 38.857645))",2
3,,2,1540,30071,3629,36,1000036,0.37,0.62,,"MULTILINESTRING ((-77.118694 38.857645,-77.112187 38.855911))",2
3,,3,30071,30072,25815,37,1000037,0.13,0.75,,"MULTILINESTRING ((-77.112187 38.855911,-77.109867 38.856363))",2
3,,4,30072,30578,25819,37,1000037,0.06,0.81,,"MULTILINESTRING ((-77.109867 38.856363,-77.108747 38.856634))",2
3,,5,30578,30577,27201,38,1000038,0.13,0.94,,"MULTILINESTRING ((-77.108747 38.856634,-77.106518 38.857281))",2
3,,6,30577,30576,27197,38,1000038,0.14,1.08,,"MULTILINESTRING ((-77.106518 38.857281,-77.104099 38.857961))",2
3,,7,30576,30073,27194,39,1000039,0.16,1.24,,"MULTILINESTRING ((-77.104099 38.857961,-77.101267 38.858831))",2
3,,8,30073,30573,25821,40,1000040,0.15,1.39,,"MULTILINESTRING ((-77.101267 38.858831,-77.098697 38.859542))",2
3,,9,30573,30574,27187,41,1000041,0.09,1.48,,"MULTILINESTRING ((-77.098697 38.859542,-77.097058 38.859972))",2
3,,10,30574,30154,27188,41,1000041,0.08,1.56,,"MULTILINESTRING ((-77.097058 38.859972,-77.095699 38.860322))",2
3,,11,30154,30153,26097,42,1000042,0.21,1.77,,"MULTILINESTRING ((-77.095699 38.860322,-77.091978 38.861253))",2
3,,12,30153,30572,26095,43,1000043,0.1,1.87,,"MULTILINESTRING ((-77.091978 38.861253,-77.092029 38.862672))",2
3,,13,30572,30628,27184,43,1000043,0.15,2.02,,"MULTILINESTRING ((-77.092029 38.862672,-77.092368 38.864753))",2
3,,14,30628,30152,27358,45,1000045,0.17,2.19,,"MULTILINESTRING ((-77.092368 38.864753,-77.094527 38.866432))",2
3,,15,30152,30321,26089,47,1000047,0.23,2.42,,"MULTILINESTRING ((-77.094527 38.866432,-77.097937 38.868453))",2
3,,16,30321,30336,26606,48,1000048,0.19,2.61,,"MULTILINESTRING ((-77.097937 38.868453,-77.100398 38.870403))",2
3,,17,30336,30334,26642,49,1000049,0.04,2.65,,"MULTILINESTRING ((-77.100398 38.870403,-77.100897 38.870834))",2
4,,1,30135,30640,26036,52,1000052,0.17,0.17,,"MULTILINESTRING ((-77.105148 38.873891,-77.107416 38.875512))",2
4,,2,30640,30326,27398,53,1000053,0.06,0.23,,"MULTILINESTRING ((-77.107416 38.875512,-77.108267 38.876151))",2
4,,3,30326,30488,26622,55,1000055,0.12,0.35,,"MULTILINESTRING ((-77.108267 38.876151,-77.107799 38.877802))",2
4,,4,30488,30095,26918,55,1000055,0.14,0.49,,"MULTILINESTRING ((-77.107799 38.877802,-77.107577 38.879891))",2
4,,5,30095,30487,25901,56,1000056,0.21,0.7,,"MULTILINESTRING ((-77.107577 38.879891,-77.104088 38.881223))",2
4,,6,30487,30133,26916,57,1000057,0.09,0.79,,"MULTILINESTRING ((-77.104088 38.881223,-77.102698 38.881941))",2
4,,7,30133,30486,26029,58,1000058,0.1,0.89,,"MULTILINESTRING ((-77.102698 38.881941,-77.101188 38.882651))",2
4,,8,30486,30632,26913,59,1000059,0.16,1.05,,"MULTILINESTRING ((-77.101188 38.882651,-77.098966 38.884103))",2
