first,agent_id,given_link_type_code,road_sequence,from_node_id,to_node_id,link_id,trace_no,trace_id,length,distance,link_type_code,geometry
first,1,,1,30072,30578,25819,2,1000002,96.54,96.54,,"MULTILINESTRING ((-77.109867 38.856363,-77.108747 38.856634))"
first,1,,2,30578,30577,27201,3,1000003,209.17,305.71,,"MULTILINESTRING ((-77.108747 38.856634,-77.106518 38.857281))"
first,1,,3,30577,30576,27197,3,1000003,225.26,530.97,,"MULTILINESTRING ((-77.106518 38.857281,-77.104099 38.857961))"
first,1,,4,30576,30073,27194,4,1000004,257.44,788.41,,"MULTILINESTRING ((-77.104099 38.857961,-77.101267 38.858831))"
first,1,,5,30073,30573,25821,5,1000005,241.35,1029.76,,"MULTILINESTRING ((-77.101267 38.858831,-77.098697 38.859542))"
first,1,,6,30573,30574,27187,6,1000006,144.81,1174.57,,"MULTILINESTRING ((-77.098697 38.859542,-77.097058 38.859972))"
first,1,,7,30574,30154,27188,6,1000006,128.72,1303.29,,"MULTILINESTRING ((-77.097058 38.859972,-77.095699 38.860322))"
first,1,,8,30154,30153,26097,7,1000007,337.89,1641.18,,"MULTILINESTRING ((-77.095699 38.860322,-77.091978 38.861253))"
first,1,,9,30153,30572,26095,8,1000008,160.9,1802.08,,"MULTILINESTRING ((-77.091978 38.861253,-77.092029 38.862672))"
first,1,,10,30572,30628,27184,8,1000008,241.35,2043.43,,"MULTILINESTRING ((-77.092029 38.862672,-77.092368 38.864753))"
first,1,,11,30628,30152,27358,10,1000010,273.53,2316.96,,"MULTILINESTRING ((-77.092368 38.864753,-77.094527 38.866432))"
first,1,,12,30152,30321,26089,12,1000012,370.07,2687.03,,"MULTILINESTRING ((-77.094527 38.866432,-77.097937 38.868453))"
first,1,,13,30321,30336,26606,13,1000013,305.71,2992.74,,"MULTILINESTRING ((-77.097937 38.868453,-77.100398 38.870403))"
first,1,,14,30336,30334,26642,14,1000014,64.36,3057.1,,"MULTILINESTRING ((-77.100398 38.870403,-77.100897 38.870834))"
first,1,,15,30334,30593,26639,14,1000014,305.71,3362.81,,"MULTILINESTRING ((-77.100897 38.870834,-77.10351 38.872712))"
first,1,,16,30593,30595,27249,15,1000015,128.72,3491.53,,"MULTILINESTRING ((-77.10351 38.872712,-77.104547 38.873464))"
first,1,,17,30595,30135,27254,15,1000015,64.36,3555.89,,"MULTILINESTRING ((-77.104547 38.873464,-77.105148 38.873891))"
first,1,,18,30135,30640,26036,17,1000017,273.53,3829.42,,"MULTILINESTRING ((-77.105148 38.873891,-77.107416 38.875512))"
first,1,,19,30640,30326,27398,18,1000018,96.54,3925.96,,"MULTILINESTRING ((-77.107416 38.875512,-77.108267 38.876151))"
first,1,,20,30326,30488,26622,20,1000020,193.08,4119.04,,"MULTILINESTRING ((-77.108267 38.876151,-77.107799 38.877802))"
first,2,,1,30487,30133,26916,22,1000022,144.81,144.81,,"MULTILINESTRING ((-77.104088 38.881223,-77.102698 38.881941))"
first,2,,2,30133,30486,26029,23,1000023,160.9,305.71,,"MULTILINESTRING ((-77.102698 38.881941,-77.101188 38.882651))"
first,2,,3,30486,30632,26913,24,1000024,257.44,563.15,,"MULTILINESTRING ((-77.101188 38.882651,-77.098966 38.884103))"
first,2,,4,30632,30131,27372,24,1000024,48.27,611.42,,"MULTILINESTRING ((-77.098966 38.884103,-77.098658 38.884422))"
first,2,,5,30131,30130,26018,24,1000024,241.35,852.77,,"MULTILINESTRING ((-77.098658 38.884422,-77.096837 38.885994))"
